Question,Equation,Answer,Numbers
nell collects baseball cards . she had number0 cards . she gave some of her cards to jeff and now has number1 cards left . how many cards did nell give to jeff ?,- number0 number1,28.0,304.0 276.0
"A study reported that in a random sampling of number0 women over the age of number1 , number2 of the women were married number3 or more times . Based on the study results , how many woman in a group of number4 women over the age of number5 would likely be married number6 or more times ?",* / number2 number0 number4,400.0,100.0 35.0 8.0 2.0 5000.0 35.0 2.0
"Wendy earned number0 points for each bag of cans she recycled . If she had number1 bags , but did n't recycle number2 of them , how many points would she have earned ?",* - number1 number2 number0,45.0,5.0 11.0 2.0
the group then went on to check out the houses along broadway street and the scary werewolf avenue . after the long walk they decided to count their candy again . if mary has number0 chewing gums sam has number1 chewing gums and sue has number2 chewing gums how many chewing gums did the number3 have in all ?,+ + number0 number1 number2,30.0,5.0 10.0 15.0 3.0
a grocery store had number0 bottles of regular soda and number1 bottles of diet soda . how many bottles did they have total ?,+ number0 number1,84.0,49.0 35.0
"If there are number0 erasers in a box and Patrick puts number1 more erasers inside , how many erasers are in the box ?",+ number0 number1,85.0,76.0 9.0
Barbara has number0 candies . She buys number1 more . How many candies does Barbara have in all ?,+ number0 number1,27.0,9.0 18.0
mr. guzman bought number0 doughnuts packed equally into number1 boxes . how many doughnuts were in each box ?,/ number0 number1,12.0,48.0 4.0
some deer families are also moving out to avoid the shortage of grass that will result from occasional blizzards . if there are number0 deer families in the area and around number1 of them stayed how many deer families moved out ?,- number0 number1,34.0,79.0 45.0
Heather has number0 oranges . Russell takes number1 away . How many oranges will Heather have ?,- number0 number1,25.0,60.0 35.0
Melanie had number0 dimes in her bank . Her dad gave her number1 dimes and her mother gave her number2 dimes . How many dimes does Melanie have now ?,+ + number0 number1 number2,83.0,19.0 39.0 25.0
It took Carl number0 hours to ride to Ralph 's house at number1 miles per hour . How far is it between Carl 's house and Ralph 's house ?,* number0 number1,10.0,5.0 2.0
Tim has number0 dozen golf balls . How many golf balls does he have ?,* number0 12.0,156.0,13.0
"Mike made number0 dollars mowing lawns over the summer . If he spent number1 dollars buying new mower blades , how many number2 dollar games could he buy with the money he had left ?",/ - number0 number1 number2,9.0,69.0 24.0 5.0
Roger has number0 candies . He gives number1 to Stephanie . How many candies will Roger have ?,- number0 number1,92.0,95.0 3.0
There are number0 marbles . number1 marbles more are added . How many are there total ?,+ number0 number1,11.0,4.0 7.0
"Jerry is at the library helping put away books . There are number0 book to put away total but a librarian takes number1 of them and leaves Jerry with the rest . If he can fit number2 books on a shelf , how many shelves will he need ?",/ - number0 number1 number2,9.0,34.0 7.0 3.0
they decided to hold the party in their backyard . if they have number0 sets of tables and each set has number1 chairs how many chairs do they have for the guests ?,* number0 number1,56.0,8.0 7.0
Lemon heads come in packages of number0 . Louis ate number1 Lemon Heads . How many whole boxes did he eat and how many Lemon Heads does he have left ?,/ number1 number0,9.0,6.0 54.0
ryan collected number0 leaves . he lost number1 leaves . after a while number2 more leaves broke . how many leaves are left in his collection ?,- - number0 number1 number2,22.0,89.0 24.0 43.0
Sean has number0 whistles . He has number1 more whistles that Charles . How many whistles does Charles have ?,- number0 number1,128.0,223.0 95.0
"A chef needs to cook number0 potatoes . He has already cooked number1 . If each potato takes number2 minutes to cook , how long will it take him to cook the rest ?",* - number0 number1 number2,45.0,16.0 7.0 5.0
Betty bought number0 pink flower stones and wanted to make number1 bracelets out of these stones . How many pink flower stones will each bracelet have if she used the same number of stones in each bracelet ?,/ number0 number1,11.0,88.0 8.0
joe number0 of the best easter egg hunters found number1 eggs around the club house number2 eggs around the park and number3 eggs in the town hall garden . how many eggs did joe find ?,+ + number1 number2 number3,20.0,1.0 12.0 5.0 3.0
There were number0 roses in the vase . Mary cut some roses from her flower garden . There are now number1 roses in the vase . How many roses did she cut ?,- number1 number0,10,6.0 16.0
there are number0 students making number1 stars each for the school wall . how many stars will they make all together ?,* number0 number1,372.0,124.0 3.0
"Last Saturday , Spencer walked all over town running errands . First , he walked number0 mile from his house to the library and number1 mile from the library to the post office . Then he walked number2 mile from the post office back home . How many miles did Spencer walk in all ?",+ + number0 number1 number2,0.8,0.3 0.1 0.4
"Alyssa bought some toys . She bought a football for $ number0 , and spent $ number1 on marbles . In total , how much did Alyssa spend on toys ?",+ number0 number1,12.3,5.71 6.59
Tim 's cat had kittens . He gave number0 to Jessica and number1 to Sara . He now has number2 kittens . How many kittens did he have to start with ?,+ + number0 number1 number2,18,3.0 6.0 9.0
"April 's discount flowers was having a sale where each flower was number0 dollars . If Robin bought number1 roses and number2 daisies , how much did she spend ?",* + number1 number2 number0,27.0,3.0 5.0 4.0
"Joe has number0 oranges that must be put away in boxes . Daniel comes to help and brings number1 cookies to share with Joe . If there are number2 boxes , how many oranges must go in each box ?",/ number0 number2,5.0,45.0 16.0 9.0
cody cooked number0 dumplings . he ate number1 . how many dumplings does cody have now ?,- number0 number1,7.0,14.0 7.0
Your class is having a pizza party . You buy number0 pizzas . Each pizza has number1 slices . How many slices is that altogether ?,* number0 number1,20.0,5.0 4.0
"There were number0 students riding on the school bus . At the first stop , number1 students got off of the bus . How many students are left on the bus ?",- number0 number1,7.0,10.0 3.0
"At the hardware store , number0 the nails are size 2d and number1 the nails are size 4d . What fraction of the nails are either size 2d or 4d ?",+ number0 number1,0.75,0.25 0.5
there are some rooms in a building . number0 of them are classrooms number1 of them are office and the remaining number2 are reading rooms . how many rooms are in the building ?,+ + number0 number1 number2,51.0,35.0 10.0 6.0
"At the arcade Dave won number0 tickets . If he spent number1 tickets on a beanie and later won number2 more tickets , how many would he have ?",- + number0 number2 number1,16.0,11.0 5.0 10.0
Beka flew number0 miles to visit her aunt . Jackson flew number1 miles to visit his aunt . How many more miles did Beka fly than Jackson ?,- number0 number1,310.0,873.0 563.0
"Mary had number0 baseball cards , and number1 were torn . Fred gave Mary number2 new baseball cards . Mary bought number3 baseball cards . How many baseball cards does Mary have now ?",+ + number0 number2 number3,84,18.0 8.0 26.0 40.0
haley loves to collect things . this year she decided to give away part of her collection as it was taking too much space in her room . number0 of her closest friends like stickers . if she plans to give all of them an equal number of stickers how many will each receive if she has number1 stickers ?,/ number1 number0,8.0,9.0 72.0
a furniture store had number0 chairs . after selling some there was number1 left . what 's the difference between the number of chairs before selling and the left ?,- number0 number1,12.0,15.0 3.0
Mariela was in the hospital and she got number0 get well cards from around the country . When she got home she got number1 more cards from friends and family . How many get well cards did Mariela get ?,+ number0 number1,690.0,403.0 287.0
"Henry had number0 action figures , but needed number1 total for a complete collection . If each one costs $ number2 , how much money would he need to finish his collection ?",* - number1 number0 number2,30.0,3.0 8.0 6.0
